gauge_id,station_type,daily_flow_period_start,daily_flow_period_end,daily_flow_perc_complete,hourly_flow_period_start,hourly_flow_period_end,hourly_flow_perc_complete,bankfull_flow,structurefull_flow,max_gauging_flow_date,max_gauging_flow,max_daily_flow,daily_flow_extrap_dur,max_hourly_flow,hourly_flow_extrap_dur,q5_uncert_upper,q5_uncert_lower,q25_uncert_upper,q25_uncert_lower,q50_uncert_upper,q50_uncert_lower,q75_uncert_upper,q75_uncert_lower,q95_uncert_upper,q95_uncert_lower,q99_uncert_upper,q99_uncert_lower,quncert_meta
10002,VA,1971-02-01,2022-09-30,99.35,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,100.00,NaN,27-Apr-2000 11:30:00,103.87,131.00,0.01,214.13,0.03,NaN,NaN,11.94,-12.37,9.53,-9.37,9.35,-9.62,9.01,-9.19,8.25,-9.50,Calculated discharge uncertainties
10003,VA,1983-05-18,2022-09-30,75.72,1990-10-01 09:00:00,2005-08-13 14:00:00,46.46,80.00,NaN,04-Nov-1984 12:00:00,90.68,137.10,0.02,117.24,0.04,NaN,NaN,13.37,-13.21,8.92,-8.91,11.25,-11.30,8.01,-8.08,NaN,NaN,Calculated discharge uncertainties
1001,VA,1995-11-09,2022-09-30,51.72,1995-11-09 12:00:00,2022-10-01 08:00:00,84.04,31.20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.26,-26.87,17.54,-17.03,9.12,-9.76,9.14,-8.91,8.96,-8.91,9.97,-9.74,Calculated discharge uncertainties
101002,US,1970-10-01,2022-09-30,97.27,1997-03-01 13:00:00,2022-10-01 08:00:00,79.66,17.80,7.30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.89,-28.81,21.73,-21.24,14.13,-14.40,10.63,-10.45,9.67,-9.30,Calculated discharge uncertainties
101005,FV,1982-04-14,2022-09-30,77.69,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.88,-18.23,23.15,-24.28,14.74,-14.94,9.11,-8.69,9.51,-9.01,Calculated discharge uncertainties
102001,TP,1988-10-10,2022-09-30,65.28,1990-10-01 09:00:00,2022-10-01 08:00:00,99.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.11,-39.72,25.88,-25.83,29.10,-28.54,45.77,-45.45,17.64,-17.18,NaN,NaN,Calculated discharge uncertainties
106001,CC,1993-03-13,2022-09-30,49.53,1998-02-25 19:00:00,2022-10-01 08:00:00,76.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.60,-37.37,39.47,-40.81,19.32,-18.73,11.97,-11.08,NaN,NaN,NaN,NaN,Calculated discharge uncertainties
107001,VA,1999-08-05,2022-09-30,44.50,1999-08-05 14:00:00,2022-10-01 08:00:00,72.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.70,-20.08,28.39,-30.11,21.11,-21.27,NaN,NaN,NaN,NaN,Calculated discharge uncertainties
11001,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,300.00,NaN,27-Apr-2000 13:20:00,307.11,329.50,0.02,573.54,0.03,26.71,-26.66,25.46,-25.57,15.89,-16.13,17.67,-17.77,15.86,-15.39,10.06,-8.97,Calculated discharge uncertainties
11003,VA,1973-05-01,2022-09-30,95.04,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,240.00,NaN,13-Oct-1982 13:00:00,163.80,195.20,0.01,333.19,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,No stage-discharge measurements available
