gauge_id,dwood_perc_1990,ewood_perc_1990,grass_perc_1990,shrub_perc_1990,crop_perc_1990,urban_perc_1990,inwater_perc_1990,bares_perc_1990,dwood_perc_2015,ewood_perc_2015,grass_perc_2015,shrub_perc_2015,crop_perc_2015,urban_perc_2015,inwater_perc_2015,bares_perc_2015,dwood_perc_2017,ewood_perc_2017,grass_perc_2017,shrub_perc_2017,crop_perc_2017,urban_perc_2017,inwater_perc_2017,bares_perc_2017,dwood_perc_2018,ewood_perc_2018,grass_perc_2018,shrub_perc_2018,crop_perc_2018,urban_perc_2018,inwater_perc_2018,bares_perc_2018,dwood_perc_2019,ewood_perc_2019,grass_perc_2019,shrub_perc_2019,crop_perc_2019,urban_perc_2019,inwater_perc_2019,bares_perc_2019,dwood_perc_2020,ewood_perc_2020,grass_perc_2020,shrub_perc_2020,crop_perc_2020,urban_perc_2020,inwater_perc_2020,bares_perc_2020,dwood_perc_2021,ewood_perc_2021,grass_perc_2021,shrub_perc_2021,crop_perc_2021,urban_perc_2021,inwater_perc_2021,bares_perc_2021,dwood_perc_2022,ewood_perc_2022,grass_perc_2022,shrub_perc_2022,crop_perc_2022,urban_perc_2022,inwater_perc_2022,bares_perc_2022
10002,2.68,2.03,43.88,9.02,41.31,0.97,0.09,0.02,3.93,5.34,42.51,6.10,40.31,1.68,0.13,0.00,5.76,4.11,42.78,5.66,39.55,2.02,0.13,0.00,5.64,4.11,45.20,5.32,37.71,1.88,0.14,0.00,6.73,4.20,43.17,4.65,39.16,2.00,0.09,0.00,6.68,3.68,44.11,4.82,38.65,1.98,0.02,0.00,6.51,3.41,40.29,6.52,40.79,2.37,0.10,0.01,5.23,3.97,41.33,5.65,41.69,1.99,0.11,0.01
10003,2.99,1.99,39.68,0.51,54.31,0.46,0.05,0.01,4.71,2.91,36.92,0.35,54.05,0.96,0.06,0.03,6.31,1.88,38.38,0.10,51.93,1.33,0.07,0.00,6.32,1.90,39.12,0.03,51.30,1.26,0.06,0.00,6.54,2.01,37.94,0.09,52.02,1.35,0.05,0.00,6.85,1.67,37.99,0.08,51.99,1.43,0.00,0.00,6.94,1.35,36.36,0.12,53.55,1.62,0.06,0.00,5.35,1.96,36.47,0.08,54.69,1.35,0.06,0.03
1001,0.01,2.80,36.12,52.30,5.29,0.09,3.32,0.07,0.46,12.22,39.95,41.71,1.80,0.20,3.35,0.31,0.27,12.26,41.93,41.49,0.33,0.31,3.32,0.10,0.24,12.07,40.78,42.76,0.45,0.24,3.31,0.15,0.37,12.15,41.67,41.79,0.30,0.27,3.32,0.13,0.40,11.39,41.49,43.00,0.00,0.40,3.31,0.00,0.39,12.24,39.33,44.00,0.00,0.71,3.31,0.02,0.79,11.23,34.44,38.81,10.55,0.62,3.31,0.24
101002,5.88,0.04,38.34,0.56,51.43,3.31,0.16,0.29,5.92,0.23,41.99,0.39,46.65,3.47,0.53,0.82,8.33,0.11,39.45,0.56,46.45,4.52,0.43,0.15,6.55,0.00,41.46,0.07,47.46,3.90,0.42,0.15,8.85,0.16,48.53,0.53,35.79,5.57,0.42,0.15,7.21,0.04,54.70,4.19,28.42,4.76,0.67,0.00,6.97,0.20,43.25,0.37,43.34,5.34,0.55,0.00,6.80,0.24,46.36,0.00,41.72,4.14,0.47,0.28
101005,3.67,0.00,53.30,0.64,38.34,3.75,0.00,0.30,3.34,0.08,57.75,0.12,33.99,4.68,0.03,0.00,4.69,0.00,60.09,0.00,29.87,5.29,0.06,0.00,3.74,0.00,60.20,0.00,30.51,5.41,0.13,0.00,4.20,0.00,63.37,0.01,27.00,5.33,0.10,0.00,3.85,0.00,68.99,0.42,20.40,6.16,0.17,0.00,3.41,0.00,62.36,0.03,28.12,5.93,0.14,0.00,3.76,0.00,64.22,0.00,27.41,4.50,0.10,0.00
102001,0.58,0.02,96.57,0.00,2.32,0.43,0.07,0.00,0.46,0.00,96.51,0.00,1.99,0.77,0.08,0.18,0.57,0.00,98.29,0.00,0.04,1.07,0.00,0.04,0.61,0.00,98.58,0.00,0.00,0.77,0.00,0.04,0.62,0.00,98.32,0.00,0.00,1.02,0.00,0.04,0.27,0.00,98.72,0.00,0.00,0.98,0.00,0.04,0.64,0.00,97.95,0.00,0.00,1.40,0.00,0.00,0.50,0.00,93.09,0.00,5.14,1.27,0.00,0.00
106001,0.00,0.00,0.13,94.07,0.00,0.00,5.80,0.00,0.07,2.49,0.13,91.48,0.00,0.00,5.84,0.00,0.14,1.42,0.41,92.19,0.00,0.00,5.84,0.00,0.14,1.34,0.24,92.43,0.00,0.00,5.85,0.00,0.13,1.47,0.01,92.56,0.00,0.00,5.83,0.00,0.00,0.56,0.48,93.11,0.00,0.00,5.85,0.00,0.52,2.60,0.17,90.86,0.00,0.00,5.84,0.00,0.68,1.39,0.96,91.11,0.00,0.00,5.86,0.00
107001,0.00,0.00,23.77,76.23,0.00,0.00,0.00,0.00,0.00,0.00,21.95,77.44,0.57,0.04,0.00,0.00,0.00,0.00,22.41,77.50,0.05,0.04,0.00,0.00,0.00,0.00,19.78,80.18,0.00,0.04,0.00,0.00,0.00,0.00,19.16,80.81,0.00,0.04,0.00,0.00,0.00,0.00,20.37,79.59,0.00,0.04,0.00,0.00,0.00,0.00,24.44,75.53,0.00,0.04,0.00,0.00,0.00,0.00,25.46,73.00,1.50,0.04,0.00,0.00
11001,3.18,11.55,34.54,25.15,24.68,0.73,0.07,0.09,3.88,15.45,35.00,22.48,21.54,1.52,0.10,0.04,5.25,14.89,36.07,21.39,20.37,1.82,0.14,0.07,5.46,14.28,37.34,21.82,19.18,1.78,0.14,0.00,5.49,14.17,37.52,21.83,19.02,1.85,0.10,0.00,6.22,13.97,37.84,21.34,18.70,1.92,0.00,0.00,6.34,13.71,36.72,21.17,20.01,1.99,0.05,0.01,5.51,13.15,35.17,21.11,22.96,1.89,0.15,0.06
11003,0.75,12.64,28.54,51.65,6.38,0.02,0.01,0.00,0.68,17.02,29.07,48.29,4.78,0.15,0.01,0.00,0.76,17.70,31.64,45.97,3.51,0.26,0.01,0.16,0.92,16.46,32.11,47.19,3.10,0.20,0.02,0.00,0.83,16.12,32.86,47.30,2.67,0.20,0.02,0.01,1.08,15.96,33.24,46.65,2.82,0.24,0.00,0.00,0.98,16.52,32.89,46.14,3.22,0.22,0.02,0.00,1.42,15.25,30.37,46.14,6.54,0.24,0.05,0.00
