gauge_id,sand_perc,sand_perc_missing,silt_perc,silt_perc_missing,clay_perc,clay_perc_missing,organic_perc,organic_perc_missing,bulkdens,bulkdens_missing,bulkdens_5,bulkdens_50,bulkdens_95,tawc,tawc_missing,tawc_5,tawc_50,tawc_95,porosity_cosby,porosity_cosby_missing,porosity_cosby_5,porosity_cosby_50,porosity_cosby_95,porosity_hypres,porosity_hypres_missing,porosity_hypres_5,porosity_hypres_50,porosity_hypres_95,conductivity_cosby,conductivity_cosby_missing,conductivity_cosby_5,conductivity_cosby_50,conductivity_cosby_95,conductivity_hypres,conductivity_hypres_missing,conductivity_hypres_5,conductivity_hypres_50,conductivity_hypres_95,root_depth,root_depth_missing,root_depth_5,root_depth_50,root_depth_95,soil_depth_pelletier,soil_depth_pelletier_missing,soil_depth_pelletier_5,soil_depth_pelletier_50,soil_depth_pelletier_95
10002,40.95,0.00,35.58,0.00,23.47,0.00,5.23,0.00,1.20,0.00,0.28,1.36,1.42,116.95,0.00,55.12,110.37,235.65,43.82,0.00,42.75,43.82,44.36,51.14,0.00,44.00,47.00,81.00,1.34,0.00,1.15,1.17,2.31,1.49,0.00,1.27,1.34,3.13,1.20,0.00,0.50,1.30,1.30,13.25,0.00,1.00,2.00,41.00
10003,43.77,0.00,37.96,0.00,18.27,0.00,1.58,0.00,1.29,0.00,1.10,1.36,1.42,88.53,0.00,55.12,102.07,110.37,43.61,0.00,42.75,43.74,44.36,47.53,0.00,44.00,47.00,52.00,1.58,0.00,1.17,1.39,2.31,1.50,0.00,1.27,1.36,2.28,1.01,0.00,0.50,1.30,1.30,7.52,0.01,1.00,1.00,30.00
1001,39.25,3.16,31.98,3.16,28.77,3.16,19.29,3.16,0.74,3.16,0.28,0.28,1.38,181.96,3.16,108.92,235.65,235.65,43.86,3.16,43.60,43.60,45.57,66.42,3.16,45.00,81.00,81.00,1.16,3.16,1.15,1.15,1.38,1.87,3.16,1.27,3.13,3.13,1.30,3.16,1.30,1.30,1.30,14.59,0.00,1.00,17.00,43.00
101002,70.88,0.00,15.37,0.00,13.76,0.00,0.43,0.00,1.54,0.00,1.38,1.53,1.74,82.72,0.00,63.19,88.01,91.03,39.93,0.00,37.78,40.10,43.73,38.39,0.00,32.00,39.00,44.00,3.23,0.00,1.34,3.54,6.80,1.50,0.00,1.11,1.52,1.90,1.26,0.00,1.30,1.30,1.30,2.83,0.00,1.00,1.00,13.00
101005,71.02,0.00,15.55,0.00,13.43,0.00,0.45,0.00,1.54,0.00,1.42,1.53,1.65,83.33,0.00,61.22,88.01,91.03,39.92,0.00,37.78,40.10,40.10,38.42,0.00,34.00,39.00,39.00,3.51,0.00,3.54,3.54,6.46,1.53,0.00,1.27,1.52,1.90,1.25,0.00,1.30,1.30,1.30,3.61,0.00,1.00,1.00,18.00
102001,39.31,0.00,35.99,0.00,24.70,0.00,0.57,0.00,1.38,0.00,1.35,1.38,1.38,106.99,0.00,95.38,108.92,112.23,44.00,0.00,43.82,43.82,44.86,45.33,0.00,45.00,45.00,47.00,1.30,0.00,1.02,1.38,1.38,1.29,0.00,1.10,1.34,1.34,1.27,0.00,1.30,1.30,1.30,26.79,0.00,1.00,27.00,49.00
106001,40.10,0.00,29.12,0.00,30.78,0.00,32.02,0.00,0.31,0.00,0.28,0.28,0.28,231.02,0.00,235.65,235.65,235.65,43.67,0.00,43.60,43.60,43.60,80.13,0.00,81.00,81.00,81.00,1.11,0.00,1.15,1.15,1.15,2.69,0.00,3.13,3.13,3.13,1.30,0.00,1.30,1.30,1.30,14.74,0.00,1.00,2.00,42.00
107001,65.40,0.00,17.59,0.00,17.01,0.00,13.82,0.00,1.09,0.00,0.28,1.65,1.65,117.86,0.00,33.89,33.89,235.65,40.59,0.00,38.04,38.04,43.82,52.66,0.00,33.00,33.00,81.00,2.11,0.00,1.15,6.21,6.21,2.32,0.00,1.34,2.10,3.13,0.86,0.00,0.50,0.50,1.30,2.12,0.00,1.00,1.00,2.00
11001,51.32,0.00,32.00,0.00,16.68,0.00,3.18,0.00,1.32,0.00,0.28,1.38,1.73,85.97,0.00,33.89,95.39,235.65,42.60,0.00,37.94,43.60,44.36,46.30,0.00,32.00,45.00,81.00,1.79,0.00,1.15,1.62,6.73,1.58,0.00,1.27,1.43,3.13,0.95,0.00,0.50,1.30,1.30,3.35,0.21,1.00,1.00,21.00
11003,52.90,0.00,29.51,0.00,17.59,0.00,5.60,0.00,1.26,0.00,0.28,1.38,1.65,94.38,0.00,33.89,95.39,235.65,42.34,0.00,38.04,43.47,43.82,47.88,0.00,33.00,45.00,81.00,1.78,0.00,1.15,1.62,6.21,1.66,0.00,1.34,1.51,3.13,0.96,0.00,0.50,1.30,1.30,1.21,0.00,1.00,1.00,2.00
